SITE,DATE,TIME,TYPE,SEASON,SIZE,GEO,FLOWCMS,Cl,TDS,TSS,S04,TotAlk,Hard,CdDis,CdTot,DFCr,CrDis,CrTot,DFCr,CuDis,CuTot,DFCu,FeDis,FeTot,DFFe,PbDis,PbTot,DFPb,MnDis,MnTot,DFMn,NiDis,NiTot,DFNi,SeDis,SeTot,DFSe,ZnDis,ZnTot,DFZn
SANT1,12/13/2012,3:35,W,W,S,S,0.002,25.44,782.00,9.40,249.20,569.20,364.90,0.003,0.003,0.00,0.070,0.030,1.00,0.47,0.46,1.00,11.79,16.02,0.00,0.003,0.009,0.00,16.89,20.37,0.00,0.37,0.33,1.00,0.410,0.410,0.000,43.30,43.69,0.00
SANT1,12/13/2012,4:35,W,W,S,S,0.003,25.11,771.00,0.80,245.55,348.50,554.60,0.011,0.013,0.00,0.060,0.020,1.00,0.55,0.49,1.00,13.33,19.47,0.00,0.008,0.008,0.00,19.78,20.28,0.00,0.42,0.41,1.00,0.450,0.460,0.000,57.99,58.60,0.00
SANT1,12/13/2012,6:00,W,W,S,S,0.004,22.37,684.00,2.80,221.05,307.50,493.20,0.013,0.005,1.00,0.090,0.030,1.00,0.46,0.61,0.00,25.35,40.87,0.00,0.003,0.088,0.00,20.32,30.71,0.00,0.38,0.40,0.00,0.370,0.440,0.000,32.26,33.80,0.00
SANT1,12/13/2012,8:00,W,W,S,S,0.007,24.18,713.00,2.70,241.95,313.60,514.70,0.005,0.025,0.00,0.090,0.080,1.00,0.77,0.90,0.00,11.83,74.87,0.00,0.003,0.050,0.00,15.38,28.01,0.00,0.50,0.51,0.00,0.550,0.480,1.000,164.30,173.19,0.00
SANT1,12/13/2012,9:00,W,W,S,S,0.004,24.52,740.00,1.00,253.63,326.00,536.40,0.016,0.025,0.00,0.090,0.010,1.00,0.90,0.98,0.00,12.58,23.76,0.00,0.003,0.011,0.00,12.86,17.33,0.00,0.46,0.53,0.00,0.490,0.510,0.000,1.19,0.69,1.00
SANT1,12/13/2012,11:00,W,W,S,S,0.003,25.44,778.00,0.25,259.48,336.20,554.90,0.012,0.005,1.00,0.150,0.003,1.00,0.61,0.66,0.00,12.36,25.04,0.00,0.003,0.012,0.00,11.82,19.87,0.00,0.45,0.47,0.00,0.420,0.450,0.000,124.85,135.51,0.00
SANT1,12/13/2012,13:30,W,W,S,S,0.003,25.42,782.00,3.20,262.18,576.40,367.00,0.003,0.015,0.00,0.070,0.010,1.00,0.79,0.79,0.00,14.28,33.44,0.00,0.003,0.017,0.00,11.00,21.50,0.00,0.45,0.47,0.00,0.390,0.370,1.000,8.49,1.83,1.00
SANT1,12/13/2012,16:00,W,W,S,S,0.003,25.00,783.00,0.03,265.60,591.00,342.40,0.003,0.013,0.00,0.080,0.020,1.00,0.59,0.82,0.00,9.32,35.63,0.00,0.003,0.039,0.00,10.12,23.83,0.00,0.40,0.46,0.00,0.450,0.470,0.000,1.67,0.66,1.00
SANT1,12/14/2012,9:35,W,W,S,S,0.003,25.50,765.50,1.00,276.67,584.00,354.60,0.016,0.000,1.00,0.100,0.040,1.00,1.00,1.00,0.00,12.50,16.00,0.00,0.003,0.003,0.00,11.50,13.00,0.00,0.43,0.40,1.00,0.460,0.390,1.000,1.00,1.50,0.00
SANT1,12/15/2012,9:15,W,W,S,S,0.004,23.75,778.00,0.90,273.33,571.25,344.25,0.012,0.013,0.00,0.088,0.058,1.00,1.00,1.00,0.00,12.25,13.25,0.00,0.025,0.010,1.00,10.50,11.00,0.00,0.39,0.45,0.00,0.468,0.518,0.000,2.00,1.25,1.00
SANT1,12/16/2012,9:30,W,W,S,S,0.003,23.92,778.00,0.25,273.57,348.50,572.43,0.011,0.007,0.00,0.090,0.053,1.00,0.75,0.72,1.00,12.18,13.39,0.00,0.017,0.008,1.00,10.27,11.18,0.00,0.41,0.41,0.00,0.460,0.463,0.000,1.57,1.32,1.00
SANT1,12/17/2012,11:00,W,W,S,S,0.003,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!
SANT2,2/19/2013,15:10,W,W,S,S,0.019,16.13,517.00,1.20,154.35,360.35,348.50,0.013,0.003,1.00,0.005,0.005,0.00,0.28,0.39,0.00,3.85,8.64,0.00,0.003,0.003,0.00,2.95,4.49,0.00,0.23,0.18,1.00,0.710,0.875,0.000,2.21,2.53,0.00
SANT2,2/19/2013,16:10,W,W,S,S,0.019,16.59,461.00,0.70,164.51,366.90,226.00,0.006,0.003,0.00,0.030,0.040,0.00,0.35,1.07,0.00,5.81,6.42,0.00,0.003,0.003,0.00,2.58,4.60,0.00,0.24,0.29,0.00,0.840,0.680,1.000,1.82,5.04,0.00
SANT2,2/19/2013,18:10,W,W,S,S,0.019,15.80,471.00,0.60,163.31,362.70,228.00,0.003,0.003,0.00,0.005,0.005,0.00,0.44,0.34,1.00,4.46,6.45,0.00,0.003,0.003,0.00,2.74,4.49,0.00,0.25,0.24,1.00,0.700,0.700,0.000,1.98,1.82,1.00
SANT2,2/19/2013,20:10,W,W,S,S,0.021,15.94,449.00,1.70,161.85,357.80,228.00,0.003,0.006,0.00,0.005,0.005,0.00,0.54,0.37,1.00,5.71,8.99,0.00,0.003,0.003,0.00,2.57,4.85,0.00,0.29,0.20,1.00,0.740,0.990,0.000,1.97,3.44,0.00
SANT2,2/19/2013,21:00,W,W,S,S,0.022,15.72,448.00,1.10,161.53,359.80,234.00,0.006,0.003,0.00,0.005,0.005,0.00,0.38,0.28,1.00,4.00,16.99,0.00,0.003,0.003,0.00,2.09,10.17,0.00,0.19,0.22,0.00,0.780,0.840,0.000,1.64,2.00,0.00
SANT2,2/19/2013,22:30,W,W,S,S,0.023,14.91,449.00,0.60,157.75,343.20,226.00,0.008,0.003,0.00,0.005,0.080,0.00,0.38,0.47,0.00,10.10,18.52,0.00,0.003,0.012,0.00,2.38,9.74,0.00,0.28,0.28,0.00,0.840,0.860,0.000,1.40,1.56,0.00
SANT2,2/19/2013,23:30,W,W,S,S,0.025,14.83,0.05,0.03,156.28,348.30,230.00,0.003,0.011,0.00,0.005,0.070,0.00,0.22,0.28,0.00,4.61,13.96,0.00,0.003,0.003,0.00,2.46,8.64,0.00,0.16,0.23,0.00,0.540,0.670,0.000,1.70,2.64,0.00
SANT2,2/20/2013,1:00,W,W,S,S,0.025,15.37,456.00,0.60,160.67,352.40,219.00,0.003,0.003,0.00,0.005,0.030,0.00,0.26,0.30,0.00,2.52,12.23,0.00,0.003,0.003,0.00,2.15,4.76,0.00,0.21,0.22,0.00,0.940,0.800,1.000,1.33,1.85,0.00
SANT2,2/20/2013,3:00,W,W,S,S,0.025,15.26,459.00,0.60,162.20,352.70,230.00,0.003,0.003,0.00,0.005,0.010,0.00,0.27,0.24,1.00,3.40,8.05,0.00,0.003,0.003,0.00,2.07,4.03,0.00,0.18,0.18,0.00,1.070,1.110,0.000,37.98,73.35,0.00
SANT2,2/20/2013,5:00,W,W,S,S,0.025,15.21,461.00,0.70,161.95,355.10,230.00,0.003,0.006,0.00,0.005,0.030,0.00,0.26,0.23,1.00,1.51,9.20,0.00,0.003,0.003,0.00,2.08,4.16,0.00,0.30,0.24,1.00,0.730,1.040,0.000,19.04,24.72,0.00
SANT2,2/20/2013,7:00,W,W,S,S,0.025,15.54,435.00,0.03,163.41,367.40,226.00,0.003,0.003,0.00,0.005,0.010,0.00,0.29,0.17,1.00,4.25,6.88,0.00,0.003,0.003,0.00,2.06,3.53,0.00,0.11,0.16,0.00,0.860,0.890,0.000,28.41,53.57,0.00
SANT2,2/21/2013,8:00,W,W,S,S,0.023,15.37,482.00,0.03,157.55,344.30,224.00,0.011,0.016,0.00,0.005,0.020,0.00,0.24,0.25,0.00,2.87,4.78,0.00,0.086,0.024,1.00,0.54,0.87,0.00,0.19,0.20,0.00,1.053,1.100,0.000,33.30,41.07,0.00
SANT2,2/22/2013,7:35,W,W,S,S,0.022,15.32,492.00,0.03,161.39,346.40,228.00,0.111,0.006,1.00,0.005,0.005,0.00,0.20,0.32,0.00,3.94,6.62,0.00,0.030,0.003,1.00,2.02,3.36,0.00,0.23,0.29,0.00,0.870,0.810,1.000,2.28,1.67,1.00
SANT2,2/23/2013,9:07,W,W,S,S,0.020,15.16,504.70,0.03,157.06,351.50,224.00,0.035,0.007,1.00,0.005,0.005,0.00,0.38,0.42,0.00,3.93,8.22,0.00,0.034,0.003,1.00,2.12,4.21,0.00,0.21,0.25,0.00,0.876,0.977,0.000,1.99,1.86,1.00
VRBM1,2/26/2014,21:30,W,W,M,S,0.005,25.50,540,25,233.86,192,370.3,0.02,0.017,0.00,0.005,0.19,0.00,1.241,1.527,0.00,86.155,309.065,0.00,0.00,0.1545,0.00,35.058,62.502,0.00,0.27,0.72,0.00,0.1,0.21,0.000,27.24,138.19,0.00
VRBM1,2/26/2014,22:00,W,W,M,S,0.006,25.44,580,57,237.7,191,374.5,0.02,0.024,0.00,0.005,0.17,0.00,1.248,1.939,0.00,88.78,470.06,0.00,0.049,0.28,0.00,35.194,62.17,0.00,0.36,1.61,0.00,0.11,0.11,0.000,27.25,136.16,0.00
VRBM1,2/26/2014,22:30,W,W,M,S,0.007,25.72,620,86.1,243.72,190,377.3,0.02,0.015,0.00,0.005,0.29,0.00,1.491,3.402,0.00,90.56,1048.77,0.00,0.123,0.654,0.00,45.381,130.545,0.00,0.38,0.81,0.00,0.16,0.22,0.000,11.74,12,0.00
VRBM1,2/26/2014,23:00,W,W,M,S,0.008,25.00,520,24.8,256.98,198,359.4,0.00,0.019,0.00,0.005,0.18,0.00,1.726,2.016,0.00,90.05,359.84,0.00,0.071,0.215,0.00,44.911,65.217,0.00,0.4,0.85,0.00,0.09,0.11,0.000,27.3,185.13,0.00
VRBM1,2/26/2014,23:30,W,W,M,S,0.008,25.44,640,31,263.34,186,372.1,0.01,0.055,0.00,0.03,0.27,0.00,1.73,2.281,0.00,93.4,430.45,0.00,0.353,0.353,0.00,44.894,75.195,0.00,0.42,2.71,0.00,0.18,0.18,0.000,12.7,12.7,0.00
VRBM1,2/27/2014,0:00,W,W,M,S,0.010,25.11,580,131,286.56,176,374.7,0.00,0.018,0.00,0.005,1.03,0.00,1.867,5.957,0.00,100.14,1917.36,0.00,0.601,1.078,0.00,46.582,201.726,0.00,0.45,1.02,0.00,0.08,0.08,0.000,11.01,15.57,0.00
VRBM1,2/27/2014,0:30,W,W,M,S,0.010,22.37,628,37.3,340.4,180,389.2,0.00,0.026,0.00,0.005,0.28,0.00,2.1,2.606,0.00,102.36,519,0.00,0.07,0.296,0.00,45.669,73.653,0.00,0.55,1.07,0.00,0.2,0.35,0.000,26.89,74.62,0.00
VRBM1,2/27/2014,1:00,W,W,M,S,0.010,23.75,620,30.5,321.1,178,412.3,0.01,0.012,0.00,0.005,0.23,0.00,1.951,2.547,0.00,108.72,485.31,0.00,0.07,0.262,0.00,46.519,68.127,0.00,0.54,1.2,0.00,0.09,0.13,0.000,10.11,10.11,0.00
VRBM1,2/27/2014,1:30,W,W,M,S,0.010,24.52,684,33.6,307.3,176,435.4,0.00,0.013,0.00,0.005,0.29,0.00,1.947,2.58,0.00,106.75,528.44,0.00,0.057,0.292,0.00,45.636,70.249,0.00,0.6,1.06,0.00,0.31,0.31,0.000,23.61,140.71,0.00
VRBM1,2/27/2014,2:00,W,W,M,S,0.011,24.18,620,24,373.25,180,457.1,0.00,0.008,0.00,0.005,0.39,0.00,2.049,2.635,0.00,116.94,443.06,0.00,0.067,0.259,0.00,46.019,59.987,0.00,0.61,0.77,0.00,0.3,0.3,0.000,9.69,4.85,1.00
VRBM1,2/27/2014,3:00,W,W,M,S,0.010,25.42,740,11.3,410.25,182,497.8,0.00,0.01,0.00,0.005,0.12,0.00,2.14,2.14,0.00,125.59,276.19,0.00,0.051,0.118,0.00,44.687,53.35,0.00,0.63,0.64,0.00,0.25,0.26,0.000,9.3,9.3,0.00
VRBM1,2/27/2014,4:30,W,W,M,S,0.008,24.83,880,7.3,439.84,200,536.3,0.00,0.0025,0.00,0.060,0.07,0.00,2.115,2.115,0.00,127.33,212.13,0.00,0.037,0.072,0.00,30.22,36.19,0.00,0.65,0.75,0.00,0.4,0.4,0.000,8.49,8.49,0.00
VRBM1,2/27/2014,6:00,W,W,M,S,0.005,24.52,760,3.4,473.6,202,559.1,0.01,0.022,0.00,0.005,0.03,0.00,1.814,1.814,0.00,122.43,174.03,0.00,0,0.056,0.00,17.84,23.805,0.00,0.6,0.7,0.00,0.24,0.24,0.000,7.46,7.46,0.00
VRBM1,2/27/2014,7:30,W,W,M,S,0.102,25.11,800,1.7,450.45,208,559.8,0.00,0.013,0.00,0.005,0.02,0.00,1.392,1.479,0.00,123.01,173.61,0.00,0.02,0.033,0.00,12.182,14.152,0.00,0.55,0.6,0.00,0.16,0.42,0.000,6.3,6.3,0.00
VRBM1,2/27/2014,9:30,W,W,M,S,0.131,23.92,880,1.3,427.45,214,559.5,0.00,0.007,0.00,0.005,0.005,0.00,1.193,0.92,1.00,118.30,145.08,0.00,0.016,0.021,0.00,9.295,10.876,0.00,0.6,0.6,0.00,0.18,0.24,0.000,6.93,6.93,0.00
VRMT3,2/26/2014,21:55,W,W,L,S,0.006,15.26,680,1.9,349.85,196,501.3,0.0025,0.0025,0.00,0.005,0.1,0.00,0.794,0.794,0.00,106.16,187.75,0.00,0.037,0.056,0.00,13.252,14.964,0.00,0.33,0.33,0.00,0.93,0.93,0.000,77.53,85.05,0.00
VRMT3,2/26/2014,22:40,W,W,L,S,0.007,15.37,700,5.6,332.8,194,492.3,0.0025,0.0025,0.00,0.005,0.04,0.00,0.773,1.005,0.00,105.12,174.24,0.00,0.04,0.047,0.00,22.092,24.067,0.00,0.28,0.34,0.00,0.91,0.91,0.000,53.36,55.01,0.00
VRMT3,2/26/2014,23:10,W,W,L,S,0.007,16.13,720,11.7,329.7,184,477.9,0.0025,0.034,0.00,0.005,0.07,0.00,0.932,0.932,0.00,106.44,206.96,0.00,0.05,0.062,0.00,27.644,32.173,0.00,0.28,0.45,0.00,0.77,0.95,0.000,29.26,179,0.00
VRMT3,2/26/2014,23:40,W,W,L,S,0.008,16.59,680,22.1,338.15,198,476.7,0.0025,0.021,0.00,0.005,0.14,0.00,1.008,1.247,0.00,104.67,301.17,0.00,0.025,0.093,0.00,31.92,40.489,0.00,0.31,0.46,0.00,0.6,0.6,0.000,7.96,7.96,0.00
VRMT3,2/27/2014,0:10,W,W,L,S,0.008,15.80,680,10.7,336.7,174,468.9,0.0025,0.0025,0.00,0.005,0.09,0.00,0.851,1.127,0.00,105.45,253.74,0.00,0.029,0.076,0.00,36.141,41.342,0.00,0.32,0.47,0.00,1.02,1.02,0.000,36.54,88.67,0.00
VRMT3,2/27/2014,0:40,W,W,L,S,0.008,15.94,720,10.3,358.05,176,481.4,0.0025,0.016,0.00,0.005,0.08,0.00,1.134,1.374,0.00,104.01,225.65,0.00,0.029,0.07,0.00,38.725,44.186,0.00,0.34,0.42,0.00,0.7,0.7,0.000,8.29,8.29,0.00
VRMT3,2/27/2014,2:10,W,W,L,S,0.010,15.72,780,20,388.1,166,494.9,0.0025,0.017,0.00,0.005,0.17,0.00,1.558,1.93,0.00,114.57,364.33,0.00,0.066,0.126,0.00,49.82,62.138,0.00,0.39,0.64,0.00,0.91,0.91,0.000,8.67,8.67,0.00
VRMT3,2/27/2014,3:20,W,W,L,S,0.009,15.16,740,12.2,454.24,164,528.1,0.0025,0.025,0.00,0.005,0.08,0.00,1.687,1.687,0.00,124.93,209.91,0.00,0.036,0.085,0.00,53.469,56.387,0.00,0.46,0.68,0.00,0.83,0.87,0.000,29.31,104.4,0.00
VRMT3,2/27/2014,5:00,W,W,L,S,0.007,14.91,860,2.8,478.9,168,573.5,0.0025,0.021,0.00,0.005,0.04,0.00,1.631,1.631,0.00,133.45,196.9,0.00,0.04,0.08,0.00,45.507,46.747,0.00,0.51,0.52,0.00,0.98,0.98,0.000,8.42,8.42,0.00
VRMT3,2/27/2014,7:00,W,W,L,S,0.005,14.83,960,2.2,508.45,176,592.4,0.0025,0.006,0.00,0.005,0.02,0.00,1.482,1.506,0.00,139.32,173.45,0.00,0.041,0.038,0.00,30.559,31.678,0.00,0.5,0.55,0.00,1.02,1.02,0.000,6.86,6.86,0.00
SJC,3/25/2012,20:30,W,W,L,IM,0.1896,41.85,2.3,363.5,77.16,86.7,155.3,0.015,0.018,0.00,0.18,0.33,0.00,1.2,1.26,0.00,97.755,381.88,#REF!,0.145,0.4495,0.00,18.535,26.405,0.00,0.42,0.495,0.00,0.355,0.465,0.000,1.74,2.715,0.00
SJC,3/25/2012,22:30,W,W,L,IM,0.1910,33.84,0,356,91.17,108.1,192.5,0.012,0.012,0.00,0.2,0.1,1.00,0.74,0.75,0.00,41.71,101.15,#REF!,0.015,0.028,0.00,12.08,15.85,0.00,0.34,0.36,0.00,0.47,0.57,0.000,1.29,1.27,1.00
SJC,3/26/2012,0:30,W,W,L,IM,0.2348,43.81,1.7,364,75.43,106.1,145.9,0.011,0.022,0.00,0.53,0.39,1.00,0.93,1.26,0.00,93.29,448.15,#REF!,0.133,0.566,0.00,14.57,28.09,0.00,0.39,0.5,0.00,0.46,0.42,1.000,1.48,3.07,0.00
SJC,3/26/2012,2:30,W,W,L,IM,0.2522,37.62,0.6,359,86.62,110.2,180.9,0.01,0.014,0.00,0.2,0.12,1.00,0.78,0.92,0.00,40.46,107.19,#REF!,0.011,0.031,0.00,9.33,14.36,0.00,0.34,0.41,0.00,0.47,0.49,0.000,1.15,0.99,1.00
SJC,3/26/2012,4:30,W,W,L,IM,0.2407,36.64,0.8,336,86.27,110.2,179,0.011,0.018,0.00,0.37,0.09,1.00,0.76,0.73,1.00,40.08,102.44,#REF!,0.01,0.028,0.00,8.4,13.29,0.00,0.33,0.34,0.00,0.5,0.51,0.000,1.09,0.92,1.00
SJC,3/26/2012,6:30,W,W,L,IM,0.2656,36.65,0,353,85.95,110.2,185.4,0.01,0.000,1.00,0.15,0.14,1.00,0.99,0.93,1.00,40,108.19,#REF!,0.009,0.032,0.00,8.58,13.17,0.00,0.35,0.46,0.00,0.57,0.58,0.000,1.2,0.96,1.00
SJC,3/26/2012,8:30,W,W,L,IM,0.2991,35.73,0.6,339,86.34,112.2,178.8,0.01,0.015,0.00,0.25,0.11,1.00,0.75,0.83,0.00,34.43,94.6,#REF!,0.017,0.03,0.00,7.25,11.14,0.00,0.3,0.38,0.00,0.5,0.49,1.000,0.89,0.88,1.00
SJC,3/26/2012,10:30,W,W,L,IM,0.3026,35.33,0,341,84.53,111.2,189.2,0.01,0.015,0.00,0.16,0.1,1.00,0.94,0.965,0.00,33.66,88.62,#REF!,0.013,0.0325,0.00,7.1,11.005,0.00,0.385,0.395,0.00,0.505,0.5,0.000,1.13,1.215,0.00
SJC,3/26/2012,13:30,W,W,L,IM,0.2940,35.5,0,329,85.02,112.2,187.7,0.011,0.013,0.00,0.22,0.08,1.00,0.94,0.96,0.00,28.22,74.04,#REF!,0.011,0.027,0.00,5.96,9.2,0.00,0.28,0.4,0.00,0.53,0.55,0.000,1.09,1.32,0.00
SJC,3/26/2012,16:30,W,W,L,IM,0.3046,34.65,0,337,85.06,112.2,179.5,0.01,0.015,0.00,0.2,0.13,1.00,0.82,0.81,1.00,25.83,71.21,#REF!,0.011,0.025,0.00,5.42,8.76,0.00,0.32,0.4,0.00,0.56,0.63,0.000,1.21,1.01,1.00
SJC,3/26/2012,19:30,W,W,L,IM,0.2558,34.35,0,294.5,86.6,110.2,185.3,0,0.018,0.00,0.22,0.08,1.00,0.94,0.88,1.00,27.66,79.41,#REF!,0.007,0.025,0.00,6.23,9.28,0.00,0.29,0.4,0.00,0.55,0.6,0.000,1.06,1.19,0.00
SJC,3/27/2012,8:00,W,W,L,IM,0.2584,32.89,0.3,299,90.005,107.1,192.3,0.0055,0.014,0.00,0.195,0.135,1.00,1.04,0.775,1.00,33.815,104.085,#REF!,0.0155,0.0325,0.00,7.7,12.87,0.00,0.355,0.365,0.00,0.655,0.63,1.000,37.885,38.955,0.00
SJC,3/28/2012,8:00,W,W,L,IM,0.1914,34.235,0.3,346.5,90.34,114.775,191.75,0.0125,0.014,0.00,0.185,0.055,1.00,0.7725,0.57,1.00,33.8,72.665,#REF!,0.009,0.03075,0.00,8.9075,11.355,0.00,0.26,0.2675,0.00,0.6025,0.6125,0.000,10.07,11.7975,0.00
SJC,3/29/2012,8:00,W,W,L,IM,0.1492,35.88,0.55,362,93.68,119.35,195.45,0.013,0.012,1.00,0.185,0.08,1.00,0.86,0.665,1.00,39.73,87.305,#REF!,0.0075,0.0235,0.00,10.87,13.915,0.00,0.285,0.33,0.00,0.59,0.66,0.000,27.195,30.035,0.00
